ANNO,PROVINCIA,GENERE,COORDINATA X,COORDINATA Y,SPERANZA DI VITA ALLA NASCITA,TASSO MORTALITA' PER 1.000 ABITANTI,TASSO MORTALITA INFANTILE PER RESIDENZA PER 1.000 NATI VIVI,POSIZIONE
2016,MILANO,F,9.18951,45.46427,85.8,9.074977410631313,,"(45.46427, 9.18951)"
2016,MONZA E DELLA BRIANZA,M,9.258430902,45.5823624,82,8.604387718720242,,"(45.5823624, 9.258430902)"
2012,MILANO,M,9.18951,45.46427,80.4,9.802879411059862,1.78,"(45.46427, 9.18951)"
2013,COMO,F,9.039360974,45.80216962,85.1,8.84238297755395,1.47,"(45.80216962, 9.039360974)"
2013,CREMONA,M,10.0131151,45.13644491,79.7,11.618809911180533,4.29,"(45.13644491, 10.0131151)"
2014,LODI,ALL,9.510140481,45.31535435,82.4,9.148428676704647,1.48,"(45.31535435, 9.510140481)"
2016,MILANO,ALL,9.18951,45.46427,83.6,9.206888127829012,,"(45.46427, 9.18951)"
2012,VARESE,M,8.80650544,45.80041256,80.3,9.918221872733554,2.84,"(45.80041256, 8.80650544)"
2013,BRESCIA,ALL,10.18167955,45.51939749,82.5,8.638418927852586,3.1,"(45.51939749, 10.18167955)"
2012,SONDRIO,F,9.879429303,46.1707552,84.6,9.953962921488117,,"(46.1707552, 9.879429303)"
2013,SONDRIO,F,9.879429303,46.1707552,85,9.619982560265534,2.54,"(46.1707552, 9.879429303)"
2013,MANTOVA,F,10.77086348,45.14135331,84.8,10.051048223224463,2.12,"(45.14135331, 10.77086348)"
2016,VARESE,F,8.80650544,45.80041256,85.6,9.508712661261066,,"(45.80041256, 8.80650544)"
2014,COMO,F,9.039360974,45.80216962,85.8,8.77388906980749,2.75,"(45.80216962, 9.039360974)"
2015,LECCO,ALL,9.388156645,45.85028614,82.9,10.057321138181472,3.18,"(45.85028614, 9.388156645)"
2016,LECCO,M,9.388156645,45.85028614,81.3,9.55835412918577,,"(45.85028614, 9.388156645)"
2016,ITALIA,F,,,85,10.042942129937659,,
2014,BRESCIA,ALL,10.18167955,45.51939749,83,8.511608105178027,4.19,"(45.51939749, 10.18167955)"
2013,REGIONE LOMBARDIA,ALL,,,82.6,9.23354513438489,2.48,
2013,LODI,ALL,9.510140481,45.31535435,81.7,9.07052409426662,1.46,"(45.31535435, 9.510140481)"
2012,MANTOVA,F,10.77086348,45.14135331,84.6,10.535935602598931,2.07,"(45.14135331, 10.77086348)"
2012,REGIONE LOMBARDIA,ALL,,,82.3,9.618368553083737,2.41,
2014,BERGAMO,M,9.63853045,45.68012929,80.6,8.662775627675835,3.47,"(45.68012929, 9.63853045)"
2016,SONDRIO,ALL,9.879429303,46.1707552,82.2,10.40895059603634,,"(46.1707552, 9.879429303)"
2014,LECCO,M,9.388156645,45.85028614,81.2,9.490410009958003,2.93,"(45.85028614, 9.388156645)"
2015,BERGAMO,M,9.63853045,45.68012929,80.4,9.764934132250007,2.81,"(45.68012929, 9.63853045)"
2014,MANTOVA,F,10.77086348,45.14135331,85,9.819023371937408,1.1,"(45.14135331, 10.77086348)"
2013,PAVIA,M,9.14034225,45.18407925,79,12.68131119837856,1.9,"(45.18407925, 9.14034225)"
2015,BRESCIA,ALL,10.18167955,45.51939749,82.8,9.262283220424628,2.27,"(45.51939749, 10.18167955)"
2016,COMO,ALL,9.039360974,45.80216962,83.3,9.50790269401689,,"(45.80216962, 9.039360974)"
2014,PAVIA,M,9.14034225,45.18407925,79.6,12.21918720616734,2.02,"(45.18407925, 9.14034225)"
